tot_popE,med_incomeE,mon_housE,pct_ten,pct_foreign,maj_foreign,maj_tra,maj_race
2667,28972,1040,0.3367079115110611,0.08061492313460818,FALSE,Car,nh_white
2643,29310,1040,0.5032160423760877,0.15853197124479756,FALSE,Car,nh_white
3502,31243,1523,0.6273557966876071,0.15562535693889207,FALSE,Car,nh_white
5705,29743,2470,0.3808939526730938,0.09500438212094654,FALSE,Car,nh_white
4706,50668,1664,0.12345941351466214,0.05716107097322567,FALSE,Car,nh_white
2160,40341,855,0.20092592592592592,0.07592592592592592,FALSE,Car,nh_white
5191,31552,2400,0.5130032748988634,0.1321518011943749,FALSE,Car,nh_white
6205,42137,2505,0.17792103142626914,0.16599516518936341,FALSE,Car,nh_white
6766,34452,2760,0.21430682825894176,0.2231746970144842,FALSE,Car,nh_white
7181,40723,2914,0.24690154574571788,0.1689179779974934,FALSE,Car,nh_white
