tot_popE,med_incomeE,mon_housE,pct_ten,pct_pubtra,maj_usborn,maj_white
5270,27793,2505,0.2715370018975332,0.0011385199240986717,TRUE,TRUE
16374,26697,6706,0.25754244534017345,0.0021986075485525836,TRUE,TRUE
18989,21236,7947,0.1754173468850387,6.846068776660172e-4,TRUE,TRUE
6197,20349,2366,0.23220913345167016,0,TRUE,TRUE
7590,20634,3117,0.1976284584980237,0.0013175230566534915,TRUE,TRUE
12186,26207,5068,0.2427375677006401,0,TRUE,TRUE
40102,21275,15922,0.2774923943942946,0.0015959303775372798,TRUE,TRUE
53689,23755,19939,0.34209987148205406,5.773994673024269e-4,TRUE,TRUE
35507,24422,13866,0.3030388374123412,3.379615287126482e-4,TRUE,TRUE
8884,25200,3645,0.24414678072940116,6.753714542998649e-4,TRUE,TRUE
44789,23662,17601,0.3400835026457389,0.0026122485431690815,TRUE,TRUE
